id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;2025-01-01;7163.46820833
NE;Nordeste;2025-01-01;11925.96770833
S;Sul;2025-01-01;11100.2475
SE;Sudeste/Centro-Oeste;2025-01-01;35903.90045833
N;Norte;2025-01-02;7705.15595833
NE;Nordeste;2025-01-02;13837.74179167
S;Sul;2025-01-02;13346.92175
SE;Sudeste/Centro-Oeste;2025-01-02;42515.2345
N;Norte;2025-01-03;7800.78970833
NE;Nordeste;2025-01-03;14230.539125
S;Sul;2025-01-03;13902.76670833
SE;Sudeste/Centro-Oeste;2025-01-03;44511.483125
N;Norte;2025-01-04;7450.60079167
NE;Nordeste;2025-01-04;13631.72570833
S;Sul;2025-01-04;12999.33008333
SE;Sudeste/Centro-Oeste;2025-01-04;42866.86179167
N;Norte;2025-01-05;7168.76116667
NE;Nordeste;2025-01-05;13033.418625
S;Sul;2025-01-05;12025.148125
SE;Sudeste/Centro-Oeste;2025-01-05;39566.96625
N;Norte;2025-01-06;7659.8265
NE;Nordeste;2025-01-06;14514.239875
S;Sul;2025-01-06;14605.04695833
SE;Sudeste/Centro-Oeste;2025-01-06;45811.22641667
N;Norte;2025-01-07;7788.91083333
NE;Nordeste;2025-01-07;14483.49083333
S;Sul;2025-01-07;15353.33925
SE;Sudeste/Centro-Oeste;2025-01-07;46742.8355
N;Norte;2025-01-08;7784.15675
NE;Nordeste;2025-01-08;14667.06675
S;Sul;2025-01-08;15763.95804167
SE;Sudeste/Centro-Oeste;2025-01-08;47114.19408333
N;Norte;2025-01-09;7829.42
NE;Nordeste;2025-01-09;14771.20779167
S;Sul;2025-01-09;15659.32383333
SE;Sudeste/Centro-Oeste;2025-01-09;46350.036375
N;Norte;2025-01-10;7868.8045
NE;Nordeste;2025-01-10;14400.03791667
S;Sul;2025-01-10;15858.67195833
SE;Sudeste/Centro-Oeste;2025-01-10;45868.24904167
N;Norte;2025-01-11;7632.11179167
NE;Nordeste;2025-01-11;13472.51741667
S;Sul;2025-01-11;13941.50325
SE;Sudeste/Centro-Oeste;2025-01-11;43162.15883333
N;Norte;2025-01-12;7307.23725
NE;Nordeste;2025-01-12;12468.62370833
S;Sul;2025-01-12;12148.76004167
SE;Sudeste/Centro-Oeste;2025-01-12;39757.97575
N;Norte;2025-01-13;7802.83708333
NE;Nordeste;2025-01-13;13291.03045833
S;Sul;2025-01-13;15531.25854167
SE;Sudeste/Centro-Oeste;2025-01-13;45181.728125
N;Norte;2025-01-14;7680.27370833
NE;Nordeste;2025-01-14;13532.02858333
S;Sul;2025-01-14;16397.49045833
SE;Sudeste/Centro-Oeste;2025-01-14;45720.62383333
N;Norte;2025-01-15;7641.602875
NE;Nordeste;2025-01-15;13211.62066667
S;Sul;2025-01-15;16660.528375
